City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
237,Los Llanos De Aridane,ES,2021-11-20 16:29:52,28.6585,-17.9182,67.75,61,20,3.0
238,Kavaratti,IN,2021-11-20 16:34:22,10.5669,72.642,81.61,75,85,12.55
239,Angicos,BR,2021-11-20 16:34:23,-5.6656,-36.6011,98.85,24,97,12.62
240,Karatau,KZ,2021-11-20 16:34:23,43.1667,70.4667,28.74,50,18,6.69
241,Les Cayes,HT,2021-11-20 16:34:24,18.2,-73.75,86.34,55,49,8.34
242,Sorong,ID,2021-11-20 16:34:24,-0.8833,131.25,79.97,82,100,3.65
243,Chumikan,RU,2021-11-20 16:34:25,54.7183,135.315,0.52,85,2,12.39
244,Kurmanayevka,RU,2021-11-20 16:34:25,52.5093,52.0675,33.82,97,100,21.88
245,Aklavik,CA,2021-11-20 16:33:22,68.2191,-135.0107,5.0,85,75,4.61
246,Tilichiki,RU,2021-11-20 16:34:27,60.4667,166.1,1.24,94,98,10.6
247,Stanceni,RO,2021-11-20 16:34:27,46.9833,25.2333,31.32,96,100,2.19
248,Salalah,OM,2021-11-20 16:34:18,17.0151,54.0924,80.69,74,0,2.3
249,Eureka,US,2021-11-20 16:31:36,40.8021,-124.1637,45.68,95,11,4.29
250,Linhares,BR,2021-11-20 16:30:05,-19.3911,-40.0722,76.73,86,99,1.83
251,Sanming,CN,2021-11-20 16:34:29,26.2486,117.6186,62.98,91,57,2.21
252,Zabaykalsk,RU,2021-11-20 16:34:29,49.6333,117.3167,15.57,93,99,3.27
253,Linjiang,CN,2021-11-20 16:34:30,41.8069,126.9078,30.83,74,97,2.13
254,Kano,NG,2021-11-20 16:32:44,12.0001,8.5167,94.89,14,0,6.91
255,Camabatela,AO,2021-11-20 16:34:31,-8.1881,15.375,64.67,96,67,3.94
256,Wajir,KE,2021-11-20 16:34:31,1.7471,40.0573,91.36,38,0,0.0
257,Rawson,AR,2021-11-20 16:34:32,-43.3002,-65.1023,80.89,22,0,24.16
258,Mandiana,GN,2021-11-20 16:34:32,10.6333,-8.6833,93.87,20,39,5.73
